1f600,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f600.png,😀,이를 드러내고 활짝 웃는 얼굴,smileys-people
1f603,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f603.png,😃,입을 벌리고 웃는 얼굴,smileys-people
1f604,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f604.png,😄,입을 벌리고 미소 짓는 눈으로 웃는 얼굴,smileys-people
1f601,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f601.png,😁,미소 짓는 눈으로 웃는 얼굴,smileys-people
1f606,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f606.png,😆,입을 벌리고 눈을 꼭 감은 채로 웃는 얼굴,smileys-people
1f605,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f605.png,😅,입을 벌리고 식은땀을 흘리며 웃는 얼굴,smileys-people
1f602,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f602.png,😂,기쁨의 눈물을 흘리는 얼굴,smileys-people
1f923,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f923.png,🤣,바닥을 구르며 웃는 얼굴,smileys-people
1f607,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f607.png,😇,후광이 있는 웃는 얼굴,smileys-people
1f609,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f609.png,😉,윙크하는 얼굴,smileys-people
1f60a,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f60a.png,😊,미소 짓는 눈으로 웃는 얼굴,smileys-people
1f642,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f642.png,🙂,Slightly smiling face,smileys-people
1f643,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f643.png,🙃,Upside-down face,smileys-people
263a,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/263a.png,☺,웃는 흰색 얼굴,smileys-people
1f60b,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f60b.png,😋,맛있는 음식을 음미하는 얼굴,smileys-people
1f60c,https://cdnjs.cloudflare.com/ajax/libs/twemoji/14.0.0/72x72/1f60c.png,😌,안심하는 얼굴,smileys-people
